ID,Plocha (mm²),Délka (mm),Šířka (mm),Ekv. průměr (mm),Poměr stran,Kruhovitost,Konvexnost
1,574.46,35.417,22.835,27.045,1.55,0.47,0.882
2,2.155,2.86,1.207,1.656,2.37,0.477,0.753
3,1.66,1.909,1.061,1.454,1.8,0.798,0.971
4,1.66,1.999,1.102,1.454,1.81,0.721,0.943
5,0.87,1.9,0.6,1.052,3.17,0.532,0.946
6,0.34,0.707,0.566,0.658,1.25,0.871,0.986
7,0.305,0.707,0.495,0.623,1.43,0.825,0.984
8,0.275,1.2,0.3,0.592,4.0,0.472,0.965
9,0.255,0.566,0.495,0.57,1.14,0.914,1.0
10,0.245,0.566,0.495,0.559,1.14,0.878,1.0
11,0.23,0.8,0.4,0.541,2.0,0.689,0.958
12,0.22,1.1,0.3,0.529,3.67,0.461,0.957
13,0.145,0.424,0.354,0.43,1.2,0.84,1.0
14,0.08,0.283,0.283,0.319,1.0,0.785,1.0
