ID,Plocha (mm²),Délka (mm),Šířka (mm),Ekv. průměr (mm),Poměr stran,Kruhovitost,Konvexnost
1,63.81,10.394,7.59,9.014,1.37,0.784,0.975
2,35.18,9.265,8.425,6.693,1.1,0.188,0.569
3,27.705,11.528,7.0,5.939,1.65,0.19,0.506
4,9.26,5.232,3.13,3.434,1.67,0.571,0.85
5,3.27,3.2,1.3,2.04,2.46,0.657,0.944
6,2.855,3.4,1.2,1.907,2.83,0.516,0.868
7,1.835,2.214,1.202,1.529,1.84,0.693,0.939
8,1.67,2.087,1.107,1.458,1.89,0.734,0.946
9,1.31,1.414,1.131,1.291,1.25,0.872,0.974
10,1.27,1.7,1.0,1.272,1.7,0.801,0.981
11,1.04,1.2,1.1,1.151,1.09,0.811,0.954
12,0.615,1.4,0.6,0.885,2.33,0.641,0.984
13,0.35,1.5,0.3,0.668,5.0,0.417,0.986
14,0.24,0.566,0.566,0.553,1.0,0.809,1.0
