ID,Plocha (mm²),Délka (mm),Šířka (mm),Ekv. průměr (mm),Poměr stran,Kruhovitost,Konvexnost
1,105.805,12.864,11.215,11.607,1.15,0.658,0.922
2,1.73,1.768,1.344,1.484,1.32,0.771,0.943
3,1.115,1.202,1.131,1.191,1.06,0.911,0.991
4,0.7,1.4,0.7,0.944,2.0,0.673,0.959
5,0.675,1.2,0.7,0.927,1.71,0.852,1.0
6,0.51,0.849,0.707,0.806,1.2,0.881,0.981
7,0.44,0.9,0.6,0.748,1.5,0.788,0.967
8,0.385,0.707,0.636,0.7,1.11,0.937,1.0
9,0.38,0.849,0.566,0.696,1.5,0.766,0.95
10,0.36,0.636,0.636,0.677,1.0,0.923,1.0
11,0.295,0.707,0.495,0.613,1.43,0.798,0.967
12,0.285,0.707,0.495,0.602,1.43,0.771,0.95
13,0.285,0.636,0.566,0.602,1.12,0.834,0.983
14,0.245,0.566,0.495,0.559,1.14,0.878,1.0
15,0.245,0.566,0.495,0.559,1.14,0.878,1.0
16,0.16,0.424,0.424,0.451,1.0,0.857,1.0
17,0.12,0.424,0.283,0.391,1.5,0.754,1.0
18,0.12,0.354,0.354,0.391,1.0,0.851,1.0
19,0.1,0.7,0.2,0.357,3.5,0.513,1.0
20,0.08,0.4,0.3,0.319,1.33,0.74,1.0
21,0.08,0.283,0.283,0.319,1.0,0.785,1.0
22,0.08,0.283,0.283,0.319,1.0,0.785,1.0
23,0.06,0.5,0.2,0.276,2.5,0.555,1.0
