ID,Plocha (mm²),Délka (mm),Šířka (mm),Ekv. průměr (mm),Poměr stran,Kruhovitost,Konvexnost
1,68.925,12.027,8.715,9.368,1.38,0.615,0.88
2,3.81,2.878,1.886,2.203,1.53,0.672,0.927
3,2.335,1.838,1.626,1.724,1.13,0.881,0.977
4,1.7,2.088,1.124,1.471,1.86,0.703,0.924
5,0.77,1.0,1.0,0.99,1.0,0.83,0.975
6,0.635,1.061,0.707,0.899,1.5,0.864,0.984
7,0.625,0.919,0.849,0.892,1.08,0.899,0.984
8,0.195,0.495,0.424,0.498,1.17,0.876,1.0
