ID,Plocha (mm²),Délka (mm),Šířka (mm),Ekv. průměr (mm),Poměr stran,Kruhovitost,Konvexnost
1,522.705,80.293,19.815,25.798,4.05,0.139,0.472
2,36.39,8.4,5.9,6.807,1.42,0.738,0.944
3,7.07,3.2,2.8,3.0,1.14,0.847,0.979
4,4.345,3.9,1.6,2.352,2.44,0.6,0.974
5,3.5,3.6,1.3,2.111,2.77,0.591,0.976
6,2.45,1.838,1.697,1.766,1.08,0.881,0.974
7,1.17,1.273,1.131,1.221,1.12,0.891,0.983
8,0.375,0.778,0.566,0.691,1.38,0.849,0.974
9,0.28,0.566,0.566,0.597,1.0,0.943,1.0
