ID,Plocha (mm²),Délka (mm),Šířka (mm),Ekv. průměr (mm),Poměr stran,Kruhovitost,Konvexnost
1,75.08,10.979,9.062,9.777,1.21,0.818,0.982
2,4.415,3.037,2.26,2.371,1.34,0.663,0.896
3,2.94,2.051,1.909,1.935,1.07,0.829,0.97
4,0.46,0.849,0.707,0.765,1.2,0.846,0.979
5,0.41,0.7,0.7,0.723,1.0,0.948,1.0
6,0.295,0.636,0.566,0.613,1.12,0.863,1.0
7,0.27,0.636,0.495,0.586,1.29,0.836,1.0
8,0.12,0.354,0.354,0.391,1.0,0.851,1.0
9,0.12,0.354,0.354,0.391,1.0,0.851,1.0
