Soubor,ID,Závažnost,Confidence,Max Z,Mean Z,Max jas,X,Y,Šířka,Výška,Plocha [px²],Poměr stran,Kruhovitost,Z práh,Z okno,Maska pokrytí [%]
.\Obr6.jpg,12,Střední,2,2.83,2.69,76.0,633,334,7,9,40.0,0.78,0.764,2.5,51,0.11
.\Obr7.jpg,1,Kritický,3,5.9,3.97,227.6,240,197,14,10,82.5,1.4,0.704,2.5,51,0.11
.\Obr7.jpg,2,Kritický,3,4.7,3.57,202.8,252,248,5,7,17.5,0.71,0.87,2.5,51,0.11
.\Obr7.jpg,3,Kritický,3,3.9,3.12,122.4,124,287,6,7,16.5,0.86,0.741,2.5,51,0.11
.\Obr7.jpg,4,Kritický,3,3.87,3.16,113.7,308,281,4,6,10.0,0.67,0.806,2.5,51,0.11
.\Obr8.jpg,1,Kritický,3,6.12,4.42,247.2,10,127,7,9,40.5,0.78,0.891,2.5,51,0.18
.\Obr8.jpg,2,Kritický,3,5.56,4.13,247.8,142,337,7,11,43.0,0.64,0.791,2.5,51,0.18
.\Obr8.jpg,3,Kritický,3,4.63,3.76,238.5,165,288,5,7,19.0,0.71,0.879,2.5,51,0.18
.\Obr8.jpg,4,Kritický,3,4.57,3.8,247.2,152,311,7,9,40.5,0.78,0.891,2.5,51,0.18
.\Obr8.jpg,5,Kritický,3,4.48,3.52,192.4,63,201,4,6,13.0,0.67,0.876,2.5,51,0.18
.\Obr8.jpg,6,Kritický,3,4.35,3.4,243.2,72,0,6,13,35.0,0.46,0.512,2.5,51,0.18
.\Obr8.jpg,7,Kritický,3,3.91,3.33,246.1,296,289,6,9,32.5,0.67,0.852,2.5,51,0.18
.\Obr9.jpg,1,Kritický,3,7.85,3.89,196.1,197,210,9,23,53.0,0.39,0.248,2.5,51,0.16
.\Obr9.jpg,2,Kritický,4,7.19,4.45,219.2,325,134,10,8,44.0,1.25,0.741,2.5,51,0.16
.\Obr9.jpg,3,Střední,2,4.23,3.21,164.0,73,0,4,4,8.0,1.0,0.857,2.5,51,0.16
.\Obr9.jpg,4,Střední,2,4.12,3.31,203.3,68,98,4,5,8.5,0.8,0.871,2.5,51,0.16
.\Obr9.jpg,5,Střední,2,4.06,3.09,108.6,299,308,5,18,27.0,0.28,0.233,2.5,51,0.16
.\Obr9.jpg,6,Střední,2,4.04,3.24,125.6,160,302,3,6,8.0,0.5,0.74,2.5,51,0.16
.\Obr9.jpg,7,Střední,1,3.56,3.12,210.2,55,265,5,4,8.5,1.25,0.871,2.5,51,0.16
.\Obr9.jpg,8,Střední,2,3.46,2.96,206.9,86,125,5,6,13.5,0.83,0.878,2.5,51,0.16
.\Obr9.jpg,9,Střední,1,3.25,2.31,111.0,199,301,6,5,9.5,1.2,0.618,2.5,51,0.16
