ID,Plocha (mm²),Délka (mm),Šířka (mm),Ekv. průměr (mm),Poměr stran,Kruhovitost,Konvexnost
1,361.37,30.742,19.313,21.45,1.59,0.357,0.855
2,268.58,28.46,19.651,18.492,1.45,0.162,0.607
3,154.18,23.4,9.0,14.011,2.6,0.531,0.944
4,48.485,9.046,6.816,7.857,1.33,0.823,0.977
5,31.12,6.708,6.082,6.295,1.1,0.811,0.97
6,29.545,9.741,5.614,6.133,1.74,0.336,0.693
7,23.21,7.164,4.222,5.436,1.7,0.763,0.96
8,19.37,7.671,4.306,4.966,1.78,0.417,0.755
9,15.995,6.103,3.619,4.513,1.69,0.71,0.939
10,10.63,3.757,3.622,3.679,1.04,0.861,0.975
11,10.42,6.315,3.137,3.642,2.01,0.4,0.743
12,7.805,3.818,2.475,3.152,1.54,0.834,0.977
13,7.8,3.394,2.97,3.151,1.14,0.8,0.961
14,6.58,3.181,2.772,2.894,1.15,0.706,0.909
15,6.18,2.862,2.773,2.805,1.03,0.877,0.976
16,5.85,3.182,2.333,2.729,1.36,0.852,0.984
17,5.46,2.8,2.4,2.637,1.17,0.806,0.978
18,5.45,2.773,2.46,2.634,1.13,0.9,0.985
19,5.43,2.97,2.404,2.629,1.24,0.857,0.974
20,4.76,2.6,2.3,2.462,1.13,0.898,0.986
21,4.69,3.7,1.8,2.444,2.06,0.463,0.854
22,3.84,2.588,2.184,2.211,1.19,0.677,0.899
23,3.74,3.162,1.997,2.182,1.58,0.492,0.793
24,3.61,2.333,1.966,2.144,1.19,0.877,0.973
25,3.37,2.121,1.98,2.071,1.07,0.895,0.975
26,3.2,2.2,1.8,2.019,1.22,0.862,0.977
27,3.13,2.46,1.655,1.996,1.49,0.812,0.968
28,2.715,2.0,1.7,1.859,1.18,0.896,0.984
29,2.71,2.183,1.612,1.858,1.35,0.855,0.966
30,2.61,2.517,1.386,1.823,1.82,0.774,0.97
31,2.43,1.7,1.7,1.759,1.0,0.888,0.974
32,2.41,1.9,1.6,1.752,1.19,0.892,0.98
33,2.245,2.809,1.247,1.691,2.25,0.573,0.854
34,2.195,2.1,1.3,1.672,1.62,0.853,0.991
35,2.185,1.909,1.768,1.668,1.08,0.402,0.778
36,2.15,1.838,1.485,1.655,1.24,0.712,0.927
37,2.14,1.697,1.556,1.651,1.09,0.913,0.984
38,2.12,1.697,1.556,1.643,1.09,0.877,0.97
39,2.085,1.6,1.6,1.629,1.0,0.897,0.983
40,1.97,1.626,1.485,1.584,1.1,0.906,0.98
41,1.955,1.697,1.485,1.578,1.14,0.879,0.97
42,1.93,1.697,1.414,1.568,1.2,0.887,0.975
43,1.665,3.2,0.7,1.456,4.57,0.409,0.954
44,1.655,1.556,1.344,1.452,1.16,0.871,0.982
45,1.61,1.922,1.177,1.432,1.63,0.764,0.933
46,1.58,1.5,1.3,1.418,1.15,0.913,0.984
47,1.56,1.556,1.273,1.409,1.22,0.87,0.975
48,1.3,1.273,1.273,1.287,1.0,0.865,0.963
49,1.285,1.485,1.131,1.279,1.31,0.833,0.973
50,1.285,1.8,0.8,1.279,2.25,0.671,0.992
51,1.14,1.3,1.1,1.205,1.18,0.904,0.987
52,1.075,1.608,0.981,1.17,1.64,0.696,0.896
53,0.955,1.131,1.061,1.103,1.07,0.907,0.985
54,0.905,1.359,0.915,1.073,1.48,0.709,0.914
55,0.665,0.919,0.849,0.92,1.08,0.858,0.964
56,0.62,0.849,0.849,0.888,1.0,0.877,0.976
57,0.6,0.919,0.778,0.874,1.18,0.898,0.984
58,0.54,0.849,0.707,0.829,1.2,0.878,0.991
59,0.525,0.99,0.636,0.818,1.56,0.819,0.963
60,0.4,0.778,0.636,0.714,1.22,0.862,0.964
61,0.395,0.707,0.636,0.709,1.11,0.895,0.988
62,0.365,0.707,0.636,0.682,1.11,0.888,0.986
63,0.35,0.636,0.636,0.668,1.0,0.897,1.0
64,0.255,0.636,0.424,0.57,1.5,0.838,1.0
65,0.22,0.495,0.495,0.529,1.0,0.922,1.0
66,0.195,0.495,0.424,0.498,1.17,0.876,1.0
67,0.185,0.495,0.424,0.485,1.17,0.831,0.974
68,0.185,0.495,0.424,0.485,1.17,0.831,0.974
69,0.17,0.424,0.424,0.465,1.0,0.911,1.0
70,0.15,0.495,0.354,0.437,1.4,0.723,0.938
71,0.145,0.8,0.3,0.43,2.67,0.501,0.906
72,0.12,0.354,0.354,0.391,1.0,0.851,1.0
73,0.12,0.354,0.354,0.391,1.0,0.851,1.0
74,0.08,0.283,0.283,0.319,1.0,0.785,1.0
75,0.08,0.283,0.283,0.319,1.0,0.785,1.0
76,0.08,0.283,0.283,0.319,1.0,0.785,1.0
